"","person_id","DistTravelled_km","MaxDiam_km","MaxHomeDist_km","AvgFlightLen_km","StdFlightLen_km","RoG_km","DistTravelled_km_lag1","MaxDiam_km_lag1","MaxHomeDist_km_lag1","AvgFlightLen_km_lag1","StdFlightLen_km_lag1","RoG_km_lag1","AvgFlightDur_min","StdFlightDur_min","AvgFlightDur_min_lag1","StdFlightDur_min_lag1","Hometime_hrs","Hometime_hrs_lag1","SigLocsVisited","SigLocsVisited_lag1","SigLocEntropy","SigLocEntropy_lag1","ProbPause","ProbPause_lag1","RoG","CircdnRtn","CircdnRtn_lag1","WkEndDayRtn","WkEndDayRtn_lag1","local_date","days_from_start","utc_timecode"
"1","Person10001",5.94370079227718,2.77211302236258,10.4659434140669,0.100740691394528,0.127409610827674,0.860661478605353,NA,NA,NA,NA,NA,NA,0.466101694915254,0.91485173568841,NA,NA,0,NA,0,NA,0,NA,0.902631889531453,NA,860.661478605353,0,NA,0,NA,"2016-02-19",0,1.455858e+12
"2","Person10001",2.85861849877724,2.25953603049295,8.24769717965536,0.102093517813473,0.114936636391023,1.22418720756935,5.94370079227718,2.77211302236258,10.4659434140669,0.100740691394528,0.127409610827674,0.860661478605353,47.5357142857143,250.163524121135,0.466101694915254,0.91485173568841,0,0,0,0,0,0,0.420649429790198,0.902631889531453,1224.18720756935,0.0541666666666667,0,NA,0,"2016-02-21",2,1456030800000
"3","Person10001",7.25111132055658,3.83591120637634,10.6087500630427,0.0873627869946576,0.205788432389565,0.898131569781801,2.85861849877724,2.25953603049295,8.24769717965536,0.102093517813473,0.114936636391023,1.22418720756935,16.3654618473896,145.29460413381,47.5357142857143,250.163524121135,0,0,0,0,0,0,0.287562502185391,0.420649429790198,898.131569781801,0.00694444444444444,0.0541666666666667,0.00833333333333333,NA,"2016-02-22",3,1456117200000
"4","Person10001",3.28778564067326,1.97636018989016,8.49985927438632,0.657557128134652,0.762877183799015,0.897138041616047,7.25111132055658,3.83591120637634,10.6087500630427,0.0873627869946576,0.205788432389565,0.898131569781801,1.93333333333333,2.57552583627758,16.3654618473896,145.29460413381,0,0,0,0,0,0,0.993287037037037,0.287562502185391,897.138041616047,0.075,0.00694444444444444,0.09,0.00833333333333333,"2016-02-23",4,1456203600000
"5","Person10001",5.41416745428262,2.50161867131821,8.49985927438632,0.050599695834417,0.0547359992536001,1.03236535555829,3.28778564067326,1.97636018989016,8.49985927438632,0.657557128134652,0.762877183799015,0.897138041616047,8.34267912772586,82.6380296049547,1.93333333333333,2.57552583627758,0,0,0,0,0,0,0.594131732896851,0.993287037037037,1032.36535555829,0.102777777777778,0.075,0.123333333333333,0.09,"2016-02-24",5,1.45629e+12
"6","Person10001",44.7433192218288,10.2545728325526,9.76208896477359,0.0941964615196396,0.206565787403058,3.27006719451696,5.41416745428262,2.50161867131821,8.49985927438632,0.050599695834417,0.0547359992536001,1.03236535555829,2.37894736842105,39.6346346965044,8.34267912772586,82.6380296049547,4.40444444444444,0,2,0,0.427553245132185,0,0.264211143185814,0.594131732896851,3270.06719451696,0,0.102777777777778,0,0.123333333333333,"2016-02-25",6,1456376400000
"7","Person10001",16.6904244658637,6.96649230022044,6.75262008609846,0.172066231606842,0.385065691693436,2.47355190509847,44.7433192218288,10.2545728325526,9.76208896477359,0.0941964615196396,0.206565787403058,3.27006719451696,0.513745704467354,1.1638532801897,2.37894736842105,39.6346346965044,13.3205555555556,4.40444444444444,2,2,0.463460852428192,0.427553245132185,0.956244329323616,0.264211143185814,2473.55190509847,0,0,0,0,"2016-02-26",7,1456462800000
"8","Person618",9.09192948985544,5.59829657296034,5.61337488799772,0.151532158164257,0.162664719729066,2.58476658350869,NA,NA,NA,NA,NA,NA,0.791666666666667,1.319356474419,NA,NA,1.64527777777778,NA,1,NA,0,NA,0.798486883970869,NA,2584.76658350869,0.5,NA,0.5,NA,"2016-08-02",0,1470110400000
"9","Person618",8.7033103247708,3.15069960922156,2.61382196093803,0.0654384234945173,0.108923390081785,0.395881017608779,9.09192948985544,5.59829657296034,5.61337488799772,0.151532158164257,0.162664719729066,2.58476658350869,1.14786967418546,3.50015957640899,0.791666666666667,1.319356474419,19.5694444444444,1.64527777777778,2,1,0.265401604801805,0,0.893981481481481,0.798486883970869,395.881017608779,0.792857142857143,0.5,0.793333333333333,0.5,"2016-08-03",1,1470196800000
"10","Person618",7.02500714679239,2.15382494470547,1.93411844744509,0.0638637013344763,0.116910848228908,0.25431049741419,8.7033103247708,3.15069960922156,2.61382196093803,0.0654384234945173,0.108923390081785,0.395881017608779,0.737878787878788,1.55258803550931,1.14786967418546,3.50015957640899,22.4944444444444,19.5694444444444,1,2,0,0.265401604801805,0.943634259259259,0.893981481481481,254.31049741419,0.855952380952381,0.792857142857143,0.831666666666667,0.793333333333333,"2016-08-04",2,1470283200000
